title,slug,category,styrk_code,median_pay_annual,num_employed,education,url
Sosionom,sosionom,Akademiske yrker,2635,672000,15329,,https://utdanning.no/yrker/y_sosionom
Speditør,speditoer,Høyskoleyrker,3331,675840,4639,,https://utdanning.no/yrker/y_speditor
Spesialist i fordøyelsessykdommer,spesialist-i-fordoeyelsessykdommer,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_legespesialist_ford
Spesialist i fysikalsk medisin og rehabilitering,spesialist-i-fysikalsk-medisin-og-rehabilitering,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_fysikalsk_medisiner
Spesialpedagog,spesialpedagog,Akademiske yrker,2352,679320,2923,,https://utdanning.no/yrker/y_spesialpedagog
Spesialsykepleier innen psykisk helse og rus,spesialsykepleier-innen-psykisk-helse-og-rus,Akademiske yrker,2221,765720,29478,Master,https://utdanning.no/yrker/y_sykepleier_psyk
Spilldesigner,spilldesigner,Akademiske yrker,2513,750000,755,Bachelor,https://utdanning.no/yrker/y_spilldesigner
Spillprogrammerer,spillprogrammerer,Akademiske yrker,2512,929040,8156,,https://utdanning.no/yrker/y_spillprogrammerer
Sportsdommer,sportsdommer,Høyskoleyrker,3422,564000,7033,,https://utdanning.no/yrker/y_sportsdommer
Statistiker,statistiker,Akademiske yrker,2120,796800,1759,,https://utdanning.no/yrker/y_statistiker
